AssayID,Molecule1,Molecule2,AtomDiff,BondDiff,TotalDiff,TanimotoSim
CHEMBL650180,CHEMBL279087,CHEMBL278760,0,1,1,0.7380952380952381
CHEMBL650180,CHEMBL279087,CHEMBL20638,0,1,1,0.813953488372093
CHEMBL650180,CHEMBL279087,CHEMBL280125,1,2,3,0.717391304347826
CHEMBL650180,CHEMBL20214,CHEMBL276991,0,2,2,0.7037037037037037
CHEMBL650180,CHEMBL20214,CHEMBL20765,0,1,1,0.7843137254901961
CHEMBL650180,CHEMBL20214,CHEMBL20082,1,4,5,0.7037037037037037
CHEMBL650180,CHEMBL20214,CHEMBL20121,0,0,0,0.7592592592592593
CHEMBL650180,CHEMBL20214,CHEMBL19874,0,1,1,0.88
CHEMBL650180,CHEMBL277617,CHEMBL20984,1,4,5,0.6
CHEMBL650180,CHEMBL277617,CHEMBL281645,0,2,2,0.6
CHEMBL650180,CHEMBL277617,CHEMBL276991,0,3,3,0.6792452830188679
CHEMBL650180,CHEMBL277617,CHEMBL21169,0,2,2,0.6111111111111112
CHEMBL650180,CHEMBL277617,CHEMBL21202,1,2,3,0.6274509803921569
CHEMBL650180,CHEMBL277617,CHEMBL20695,0,4,4,0.625
CHEMBL650180,CHEMBL277617,CHEMBL20765,0,2,2,0.6923076923076923
CHEMBL650180,CHEMBL277617,CHEMBL20037,1,2,3,0.6037735849056604
CHEMBL650180,CHEMBL277617,CHEMBL20121,0,1,1,0.803921568627451
CHEMBL650180,CHEMBL277617,CHEMBL19874,1,2,3,0.82
CHEMBL650180,CHEMBL21222,CHEMBL20529,2,4,6,0.7407407407407407
CHEMBL650180,CHEMBL21222,CHEMBL538650,2,4,6,0.631578947368421
CHEMBL650180,CHEMBL21222,CHEMBL416549,1,4,5,0.6428571428571429
CHEMBL650180,CHEMBL21087,CHEMBL278760,1,2,3,0.7380952380952381
CHEMBL650180,CHEMBL21087,CHEMBL20638,0,2,2,0.6595744680851063
CHEMBL650180,CHEMBL21087,CHEMBL277407,1,4,5,0.6122448979591837
CHEMBL657848,CHEMBL268177,CHEMBL6724,1,2,3,0.6071428571428571
CHEMBL657970,CHEMBL268177,CHEMBL6724,1,2,3,0.6071428571428571
CHEMBL657976,CHEMBL268177,CHEMBL6724,1,2,3,0.6071428571428571
CHEMBL663871,CHEMBL54530,CHEMBL53162,0,4,4,0.8055555555555556
CHEMBL663871,CHEMBL54530,CHEMBL56014,1,4,5,0.65
CHEMBL663871,CHEMBL54530,CHEMBL54371,1,3,4,0.6585365853658537
CHEMBL663871,CHEMBL54530,CHEMBL55032,1,3,4,0.6046511627906976
CHEMBL663871,CHEMBL54530,CHEMBL57397,0,3,3,0.6486486486486487
CHEMBL663871,CHEMBL54530,CHEMBL293964,1,3,4,0.6052631578947368
CHEMBL663871,CHEMBL54530,CHEMBL52018,0,1,1,0.6153846153846154
CHEMBL663871,CHEMBL54530,CHEMBL53002,1,3,4,0.6190476190476191
CHEMBL663871,CHEMBL54530,CHEMBL299948,0,1,1,0.6486486486486487
CHEMBL663871,CHEMBL54530,CHEMBL54632,2,4,6,0.627906976744186
CHEMBL663871,CHEMBL54530,CHEMBL55145,1,4,5,0.65
CHEMBL663871,CHEMBL54530,CHEMBL53413,1,2,3,0.7368421052631579
CHEMBL706332,CHEMBL543512,CHEMBL538981,2,4,6,0.7666666666666667
CHEMBL706332,CHEMBL543512,CHEMBL557807,0,3,3,0.9152542372881356
CHEMBL760688,CHEMBL357119,CHEMBL153102,1,4,5,0.7761194029850746
CHEMBL760688,CHEMBL357119,CHEMBL347797,0,4,4,0.6710526315789473
CHEMBL760688,CHEMBL357119,CHEMBL155166,1,4,5,0.6805555555555556
CHEMBL760688,CHEMBL357119,CHEMBL356634,0,4,4,0.7536231884057971
CHEMBL760688,CHEMBL357119,CHEMBL154927,0,4,4,0.6447368421052632
CHEMBL760688,CHEMBL357119,CHEMBL150561,0,2,2,0.7083333333333334
CHEMBL760688,CHEMBL357119,CHEMBL348498,1,3,4,0.6447368421052632
CHEMBL760688,CHEMBL357119,CHEMBL154751,0,4,4,0.7142857142857143
CHEMBL760688,CHEMBL357119,CHEMBL152947,1,4,5,0.7323943661971831
CHEMBL760688,CHEMBL357119,CHEMBL153159,0,3,3,0.8615384615384616
CHEMBL760688,CHEMBL357119,CHEMBL153122,0,3,3,0.7083333333333334
CHEMBL858266,CHEMBL54530,CHEMBL56014,1,4,5,0.65
CHEMBL858266,CHEMBL54530,CHEMBL54371,1,3,4,0.6585365853658537
CHEMBL858266,CHEMBL54530,CHEMBL55032,1,3,4,0.6046511627906976
CHEMBL858266,CHEMBL54530,CHEMBL57397,0,3,3,0.6486486486486487
CHEMBL858266,CHEMBL54530,CHEMBL293964,1,3,4,0.6052631578947368
CHEMBL858266,CHEMBL54530,CHEMBL52018,0,1,1,0.6153846153846154
CHEMBL858266,CHEMBL54530,CHEMBL53002,1,3,4,0.6190476190476191
CHEMBL858266,CHEMBL54530,CHEMBL299948,0,1,1,0.6486486486486487
CHEMBL858266,CHEMBL54530,CHEMBL54632,2,4,6,0.627906976744186
CHEMBL858266,CHEMBL54530,CHEMBL55145,1,4,5,0.65
CHEMBL858266,CHEMBL54530,CHEMBL53413,1,2,3,0.7368421052631579
CHEMBL872937,CHEMBL324340,CHEMBL109482,0,1,1,0.7857142857142857
CHEMBL872937,CHEMBL324340,CHEMBL324193,1,2,3,0.7931034482758621
CHEMBL873200,CHEMBL268177,CHEMBL6724,1,2,3,0.6071428571428571
